server	52488472	a845cf9b51def51e1ba8e75b1eaa06dfc1e0cdd572e05c7fbfd6d6ce44a6348a	/opt/scratch/nvme/cx-gateway/memra/target/release/memra-server
model	15705920064	d8d71c7e8a01a1c964fd904a7b496eaef19bdd66827e0949e66c723da742d517	/opt/scratch/nvme/cx-gateway/models/Qwen3.6-27B-NVFP4-Q4_K_M-mtp.gguf
draft	MISSING	MISSING	
model_metadata	1280	671568b0f4ea3c1b799b79073faeba8a8bfdb4f47e1afca8ed7710de2783d4ce	/opt/scratch/nvme/cx-gateway/memra/deploy/gateway/q27-models.toml
keyring_hash_only	722	6cbdff49336062eadb7a8df8df9bddabdaef7c3c147f1e2ed8b4ce29da974160	/tmp/cx-gateway-keys.LaBBLe/keys.toml
environment_hash_only	MISSING	MISSING	/etc/memra/runpod.env
request_cost_ledger	10674942	5089ae16db08c23b8a4050ff0cf0b09572332b2c75c9712c52d3a3a486394ca9	/opt/scratch/nvme/cx-gateway/raw/soak-20260812T081505Z/request-cost-replica1.jsonl
server_unit	MISSING	MISSING	/etc/systemd/system/memra-server.service
server_dropin	MISSING	MISSING	/etc/systemd/system/memra-server.service.d/runpod.conf
gateway_dropin	MISSING	MISSING	/etc/systemd/system/memra-server.service.d/gateway.conf
cloudflared_unit	MISSING	MISSING	/etc/systemd/system/cloudflared.service
