basis	checkpoint_physical_bytes
plan_sha256	03198c7b17f61533d7e561340a17b1d338a9895cd869d51c2481ab101f857850
context_tokens	0
warning	not exact HBM: loader expansions, repacks, mirrors, KV and workspaces require runtime planning
status	passed
MEMRA_PP_STAGES	4
MEMRA_PP_DEVICES	0,1,2,3
MEMRA_PP_SPLITS	2,14,26
max_stage_bytes	377542656
stage	device	layers	weight_bytes	fixed_bytes	total_bytes
0	0	0..2	62923776	311164928	374088704
1	1	2..14	377542656	0	377542656
2	2	14..26	377542656	0	377542656
3	3	26..28	62923776	311166976	374090752
